"Mass","formula","HC","OC"
353.2698249,"C21H38O4",1.81,0.19
353.3061586,"C22H42O3",1.91,0.14
353.3425361,"C23H46O2",2,0.09
354.08385,"C16H21O4N1S2",1.31,0.25
354.224629,"C14H33O7N3",2.36,0.5
354.348937,"C21H45O1N3",2.14,0.05
354.996066,"C15H16O2S4",1.07,0.13
355.0459066,"C18H12O8",0.67,0.44
355.046255,"C11H20O5N2S3",1.82,0.45
355.0885995,"C15H21O4N2S1P1",1.4,0.27
355.118659,"C20H20O6",1,0.3
355.1762978,"C18H28O7",1.56,0.39
355.2127007,"C19H32O6",1.68,0.32
355.2490286,"C20H36O5",1.8,0.25
355.2854604,"C21H40O4",1.9,0.19
355.3216775,"C22H44O3",2,0.14
356.027713,"C15H19O1N1S4",1.27,0.07
356.089583,"C18H19O1N3S2",1.06,0.06
356.244286,"C19H35O5N1",1.84,0.26
356.317037,"C21H43O3N1",2.05,0.14
357.0404333,"C21H10O6",0.48,0.29
357.061577,"C18H14O8",0.78,0.44
357.076775,"C22H14O5",0.64,0.23
357.0979644,"C19H18O7",0.95,0.37
357.119123,"C16H22O9",1.38,0.56
357.1344618,"C20H22O6",1.1,0.3
