"GHG_col","ID","W","Mass","formula","presence","Site","trmt","Material","max_reps","formulareps","include"
"GHG","10","W",255.0663258,"C15H12O4",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",255.0874468,"C12H16O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",255.09867,"C11H16O5N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",255.1238198,"C13H20O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",255.1602201,"C14H24O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",255.1965968,"C15H28O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",255.232957,"C16H32O2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",256.0463044,"C10H11O7N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",256.0826992,"C11H15O6N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",256.0939533,"C10H15O5N3",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",256.1190864,"C12H19O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",256.9769661,"C10H10O2S3",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",257.0303255,"C10H10O8",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",257.0455942,"C14H10O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",257.0667099,"C11H14O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",257.077935,"C10H14O6N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",257.0819609,"C15H14O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",257.103092,"C12H18O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",257.1143327,"C11H18O5N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",257.1183799,"C16H18O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",257.139487,"C13H22O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",257.1758605,"C14H26O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",257.2122348,"C15H30O3",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",258.073201,"C9H13O6N3",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",259.0248565,"C13H8O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",259.0459749,"C10H12O8",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",259.0572159,"C9H12O7N2",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",259.0612279,"C14H12O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",259.0823694,"C11H16O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",259.0976356,"C15H16O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
