"Mass","formula","HC","OC"
242.0782689,"C9H13O5N3",1.44,0.56
242.1034071,"C11H17O5N1",1.55,0.45
242.1146613,"C10H17O4N3",1.7,0.4
242.1397929,"C12H21O4N1",1.75,0.33
242.1761906,"C13H25O3N1",1.92,0.23
242.212533,"C14H29O2N1",2.07,0.14
242.9613156,"C9H8O2S3",0.89,0.22
242.9782941,"C8H4O9",0.5,1.12
242.993505,"C12H4O6",0.33,0.5
243.0146709,"C9H8O8",0.89,0.89
243.0299341,"C13H8O5",0.62,0.38
243.0333206,"C10H12O5S1",1.2,0.5
243.0510623,"C10H12O7",1.2,0.7
243.0622893,"C9H12O6N2",1.33,0.67
243.0663061,"C14H12O4",0.86,0.29
243.0874282,"C11H16O6",1.45,0.55
243.0986888,"C10H16O5N2",1.6,0.5
243.1026932,"C15H16O3",1.07,0.2
243.1238122,"C12H20O5",1.67,0.42
243.1351015,"C11H20O4N2",1.82,0.36
243.1602025,"C13H24O4",1.85,0.31
243.1714554,"C12H24O3N2",2,0.25
243.175495,"C17H24O1",1.41,0.06
243.1966106,"C14H28O3",2,0.21
244.025097,"C12H7O5N1",0.58,0.42
244.046307,"C9H11O7N1",1.22,0.78
244.057467,"C8H11O6N3",1.38,0.75
244.0615131,"C13H11O4N1",0.85,0.31
244.0826814,"C10H15O6N1",1.5,0.6
244.093968,"C9H15O5N3",1.67,0.56
244.1190285,"C11H19O5N1",1.73,0.45
244.1303081,"C10H19O4N3",1.9,0.4
244.1554908,"C12H23O4N1",1.92,0.33
244.948452,"C10H2O2N2S2",0.2,0.2
245.0092093,"C12H6O6",0.5,0.5
245.010075,"C13H10O1S2",0.77,0.08
245.0303196,"C9H10O8",1.11,0.89
245.041574,"C8H10O7N2",1.25,0.88
245.0455991,"C13H10O5",0.77,0.38
245.0567966,"C12H10O4N2",0.83,0.33
245.0667166,"C10H14O7",1.4,0.7
245.0779453,"C9H14O6N2",1.56,0.67
245.0819743,"C14H14O4",1,0.29
245.1030994,"C11H18O6",1.64,0.55
245.1143278,"C10H18O5N2",1.8,0.5
245.1183593,"C15H18O3",1.2,0.2
245.1394788,"C12H22O5",1.83,0.42
245.1507124,"C11H22O4N2",2,0.36
245.1758595,"C13H26O4",2,0.31
246.0408309,"C12H9O5N1",0.75,0.42
246.0619603,"C9H13O7N1",1.44,0.78
246.0731789,"C8H13O6N3",1.62,0.75
246.0772025,"C13H13O4N1",1,0.31
246.098348,"C10H17O6N1",1.7,0.6
246.1095799,"C9H17O5N3",1.89,0.56
246.988581,"C4H12O4N2S3",3,1
247.0096167,"C8H8O9",1,1.12
247.024841,"C12H8O6",0.67,0.5
247.0360469,"C11H8O5N2",0.73,0.45
247.04596,"C9H12O8",1.33,0.89
247.0572009,"C8H12O7N2",1.5,0.88
247.0612438,"C13H12O5",0.92,0.38
247.072488,"C12H12O4N2",1,0.33
247.0823711,"C10H16O7",1.6,0.7
247.093588,"C9H16O6N2",1.78,0.67
247.0976252,"C14H16O4",1.14,0.29
247.1187571,"C11H20O6",1.82,0.55
247.134006,"C15H20O3",1.33,0.2
247.1551349,"C12H24O5",2,0.42
247.1703873,"C16H24O2",1.5,0.12
248.020094,"C11H7O6N1",0.64,0.55
248.0411207,"C8H11O8N1",1.38,1
248.0564721,"C12H11O5N1",0.92,0.42
248.0776052,"C9H15O7N1",1.67,0.78
248.0928253,"C13H15O4N1",1.15,0.31
248.1139441,"C10H19O6N1",1.9,0.6
248.1503877,"C11H23O5N1",2.09,0.45
248.950871,"C11H6O1S3",0.55,0.09
248.952868,"C9H3O3N2S1P1",0.33,0.33
249.001599,"C15H6O2S1",0.4,0.13
249.0041068,"C11H6O7",0.55,0.64
249.0252266,"C8H10O9",1.25,1.12
249.0405064,"C12H10O6",0.83,0.5
249.0517083,"C11H10O5N2",0.91,0.45
249.055046,"C8H14O5N2S1",1.75,0.62
249.0616291,"C9H14O8",1.56,0.89
249.0768879,"C13H14O5",1.08,0.38
249.0980075,"C10H18O7",1.8,0.7
249.1132528,"C14H18O4",1.29,0.29
249.116644,"C11H22O4S1",2,0.36
249.134356,"C11H22O6",2,0.55
249.149653,"C15H22O3",1.47,0.2
249.1530503,"C12H26O3S1",2.17,0.25
249.991088,"C10H6O5N1P1",0.6,0.5
249.9993856,"C10H5O7N1",0.5,0.7
250.0357391,"C11H9O6N1",0.82,0.55
250.0567978,"C8H13O8N1",1.62,1
250.0721383,"C12H13O5N1",1.08,0.42
250.0932724,"C9H17O7N1",1.89,0.78
250.1085235,"C13H17O4N1",1.31,0.31
250.1448689,"C14H21O3N1",1.5,0.21
250.9833797,"C10H4O8",0.4,0.8
251.0197609,"C11H8O7",0.73,0.64
251.0309981,"C10H8O6N2",0.8,0.6
251.0408796,"C8H12O9",1.5,1.12
251.0561328,"C12H12O6",1,0.5
251.0674061,"C11H12O5N2",1.09,0.45
251.0772556,"C9H16O8",1.78,0.89
251.0925329,"C13H16O5",1.23,0.38
251.0959047,"C10H20O5S1",2,0.5
251.1037659,"C12H16O4N2",1.33,0.33
251.1136568,"C10H20O7",2,0.7
251.12893,"C14H20O4",1.43,0.29
251.132221,"C11H24O4S1",2.18,0.36
251.141789,"C11H25O4P1",2.27,0.36
251.165288,"C15H24O3",1.6,0.2
251.2017157,"C16H28O2",1.75,0.12
252.0150348,"C10H7O7N1",0.7,0.7
252.0513958,"C11H11O6N1",1,0.55
252.054676,"C8H15O6N1S1",1.88,0.75
252.0877533,"C12H15O5N1",1.25,0.42
252.108949,"C9H19O7N1",2.11,0.78
252.9990064,"C10H6O8",0.6,0.8
253.014297,"C14H6O5",0.43,0.36
253.0354186,"C11H10O7",0.91,0.64
253.0466252,"C10H10O6N2",1,0.6
253.0565523,"C8H14O9",1.75,1.12
253.0718023,"C12H14O6",1.17,0.5
253.0830301,"C11H14O5N2",1.27,0.45
253.08707,"C16H14O3",0.88,0.19
253.0929267,"C9H18O8",2,0.89
253.108174,"C13H18O5",1.38,0.38
253.1194115,"C12H18O4N2",1.5,0.33
253.129283,"C10H22O7",2.2,0.7
253.1445636,"C14H22O4",1.57,0.29
253.1809355,"C15H26O3",1.73,0.2
253.2173418,"C16H30O2",1.88,0.12
254.030662,"C10H9O7N1",0.9,0.7
254.046046,"C7H17O1N3S3",2.43,0.14
254.0670428,"C11H13O6N1",1.18,0.55
254.078213,"C10H13O5N3",1.3,0.5
254.0881862,"C8H17O8N1",2.12,1
254.1034357,"C12H17O5N1",1.42,0.42
254.1244933,"C9H21O7N1",2.33,0.78
254.934483,"C9H5O3S2P1",0.56,0.33
255.0146653,"C10H8O8",0.8,0.8
255.0299381,"C14H8O5",0.57,0.36
255.0411223,"C13H8O4N2",0.62,0.31
255.0510695,"C11H12O7",1.09,0.64
255.0622824,"C10H12O6N2",1.2,0.6
255.0639435,"C8H17O7P1",2.12,0.88
255.0663258,"C15H12O4",0.8,0.27
255.0721724,"C8H16O9",2,1.12
255.0751717,"C7H17O6N2P1",2.43,0.86
255.0874468,"C12H16O6",1.33,0.5
255.09867,"C11H16O5N2",1.45,0.45
255.1085954,"C9H20O8",2.22,0.89
255.1238198,"C13H20O5",1.54,0.38
255.1350172,"C12H20O4N2",1.67,0.33
255.1602201,"C14H24O4",1.71,0.29
255.1965968,"C15H28O3",1.87,0.2
255.232957,"C16H32O2",2,0.12
255.9805776,"C12H4O4N1P1",0.33,0.33
256.010709,"C10H11O3N1S2",1.1,0.3
256.0251258,"C13H7O5N1",0.54,0.38
256.0463044,"C10H11O7N1",1.1,0.7
256.057529,"C9H11O6N3",1.22,0.67
256.0826992,"C11H15O6N1",1.36,0.55
256.0939533,"C10H15O5N3",1.5,0.5
256.10386,"C8H19O8N1",2.38,1
256.1190864,"C12H19O5N1",1.58,0.42
256.1303313,"C11H19O4N3",1.73,0.36
256.9769661,"C10H10O2S3",1,0.2
256.993919,"C9H6O9",0.67,1
257.006686,"C17H6O1S1",0.35,0.06
257.009219,"C13H6O6",0.46,0.46
257.012139,"C12H7O3N2P1",0.58,0.25
257.0303255,"C10H10O8",1,0.8
257.033637,"C7H14O8S1",2,1.14
257.041582,"C9H10O7N2",1.11,0.78
257.0455942,"C14H10O5",0.71,0.36
257.0489653,"C11H14O5S1",1.27,0.45
257.056834,"C13H10O4N2",0.77,0.31
257.0667099,"C11H14O7",1.27,0.64
257.077935,"C10H14O6N2",1.4,0.6
257.079566,"C8H19O7P1",2.38,0.88
257.0819609,"C15H14O4",0.93,0.27
257.087803,"C8H18O9",2.25,1.12
257.103092,"C12H18O6",1.5,0.5
257.1143327,"C11H18O5N2",1.64,0.45
257.1183799,"C16H18O3",1.12,0.19
257.139487,"C13H22O5",1.69,0.38
