"Mass","formula","El_comp","HC","OC","AImod","NOSC","C","H","O","N","S","P","Class"
241.1081909,"C12H18O5","CHO",1.5,0.42,0.1579,-0.6667,12,18,5,0,0,0,"aliphatic"
241.1445463,"C13H22O4","CHO",1.69,0.31,0.0909,-1.0769,13,22,4,0,0,0,"aliphatic"
241.2173094,"C15H30O2","CHO",2,0.13,0,-1.7333,15,30,2,0,0,0,"aliphatic"
242.1761633,"C13H25O3N1","CHON",1.92,0.23,-0.0476,-1.2308,13,25,3,1,0,0,"aliphatic"
243.062257,"C9H12O6N2","CHON",1.33,0.67,0,0.6667,9,12,6,2,0,0,"unsaturated/lignin"
243.1237693,"C12H20O5","CHO",1.67,0.42,0.0526,-0.8333,12,20,5,0,0,0,"aliphatic"
243.1602176,"C13H24O4","CHO",1.85,0.31,0,-1.2308,13,24,4,0,0,0,"aliphatic"
243.175442,"C17H24O1","CHO",1.41,0.06,0.3333,-1.2941,17,24,1,0,0,0,"unsaturated/lignin"
243.1965543,"C14H28O3","CHO",2,0.21,-0.04,-1.5714,14,28,3,0,0,0,"aliphatic"
245.103082,"C11H18O6","CHO",1.64,0.55,0,-0.5455,11,18,6,0,0,0,"aliphatic"
245.1394653,"C12H22O5","CHO",1.83,0.42,-0.0526,-1,12,22,5,0,0,0,"aliphatic"
245.175809,"C13H26O4","CHO",2,0.31,-0.0909,-1.3846,13,26,4,0,0,0,"aliphatic"
247.024743,"C12H8O6","CHO",0.67,0.5,0.6667,0.3333,12,8,6,0,0,0,"condensed aromatic"
247.061241,"C13H12O5","CHO",0.92,0.38,0.5238,-0.1538,13,12,5,0,0,0,"aromatic"
247.1339255,"C15H20O3","CHO",1.33,0.2,0.3333,-0.9333,15,20,3,0,0,0,"unsaturated/lignin"
248.14043,"C13H19O2N3","CHON",1.46,0.15,0.2222,-0.4615,13,19,2,3,0,0,"unsaturated/lignin"
249.07688,"C13H14O5","CHO",1.08,0.38,0.4286,-0.3077,13,14,5,0,0,0,"unsaturated/lignin"
249.1496378,"C15H22O3","CHO",1.47,0.2,0.2593,-1.0667,15,22,3,0,0,0,"unsaturated/lignin"
250.1449,"C14H21O3N1","CHON",1.5,0.21,0.2174,-0.8571,14,21,3,1,0,0,"aliphatic"
251.056131,"C12H12O6","CHO",1,0.5,0.4444,0,12,12,6,0,0,0,"unsaturated/lignin"
251.1288093,"C14H20O4","CHO",1.43,0.29,0.25,-0.8571,14,20,4,0,0,0,"unsaturated/lignin"
