"V1","V2"
20.34,1192
20.35,1202
20.36,1191
20.37,1160
20.38,1211
20.39,1136
20.4,1204
20.41,1206
20.42,1196
20.43,1167
20.44,1196
20.45,1209
20.46,1235
20.47,1167
20.48,1140
20.49,1196
20.5,1193
20.51,1211
20.52,1234
20.53,1193
20.54,1143
20.55,1189
20.56,1189
20.57,1226
20.58,1255
20.59,1236
20.6,1268
20.61,1202
20.62,1242
20.63,1246
20.64,1298
20.65,1315
20.66,1274
20.67,1240
20.68,1258
20.69,1288
20.7,1306
20.71,1324
20.72,1366
20.73,1421
20.74,1510
20.75,1542
20.76,1543
20.77,1699
20.78,1784
20.79,1896
20.8,2070
20.81,2117
20.82,2351
20.83,2571
20.84,2769
20.85,2964
20.86,3043
20.87,2934
20.88,2729
20.89,2530
20.9,2288
20.91,2186
20.92,2074
20.93,1868
20.94,1625
20.95,1515
20.96,1470
20.97,1416
20.98,1329
20.99,1361
21,1338
21.01,1388
21.02,1353
21.03,1342
21.04,1444
21.05,1528
21.06,1607
21.07,1702
21.08,1913
21.09,2102
21.1,2155
21.11,2046
21.12,1829
21.13,1737
21.14,1743
21.15,1680
21.16,1604
21.17,1512
21.18,1394
21.19,1340
21.2,1299
21.21,1292
21.22,1233
21.23,1191
21.24,1298
21.25,1288
21.26,1260
21.27,1296
21.28,1226
21.29,1287
21.3,1260
21.31,1255
21.32,1224
21.33,1245
21.34,1255
21.35,1251
21.36,1263
21.37,1263
21.38,1250
21.39,1190
21.4,1230
21.41,1204
21.42,1233
21.43,1239
21.44,1198
21.45,1250
21.46,1255
21.47,1215
21.48,1256
21.49,1215
21.5,1213
21.51,1261
21.52,1293
21.53,1302
21.54,1265
21.55,1330
21.56,1175
21.57,1306
21.58,1293
21.59,1318
21.6,1271
21.61,1287
21.62,1280
21.63,1239
21.64,1279
21.65,1243
21.66,1332
21.67,1269
21.68,1275
21.69,1181
21.7,1202
21.71,1255
21.72,1245
21.73,1321
21.74,1218
21.75,1175
21.76,1257
21.77,1233
21.78,1166
21.79,1239
21.8,1263
21.81,1243
21.82,1183
21.83,1181
21.84,1277
21.85,1253
21.86,1234
21.87,1271
21.88,1272
21.89,1244
21.9,1328
21.91,1314
21.92,1288
21.93,1365
21.94,1348
21.95,1403
21.96,1407
21.97,1511
21.98,1524
21.99,1467
22,1571
22.01,1672
22.02,1808
22.03,1772
22.04,1793
22.05,1739
22.06,1591
22.07,1661
22.08,1593
22.09,1551
22.1,1441
22.11,1379
22.12,1373
22.13,1347
22.14,1337
22.15,1286
22.16,1250
22.17,1221
22.18,1215
22.19,1196
22.2,1200
22.21,1191
22.22,1192
22.23,1158
22.24,1121
22.25,1155
22.26,1217
22.27,1199
22.28,1229
22.29,1234
22.3,1176
22.31,1178
22.32,1134
22.33,1132
22.34,1192
22.35,1177
22.36,1174
22.37,1201
22.38,1155
22.39,1145
22.4,1229
22.41,1170
22.42,1178
22.43,1167
22.44,1237
22.45,1191
22.46,1135
22.47,1204
22.48,1149
22.49,1151
22.5,1149
22.51,1164
22.52,1155
22.53,1165
22.54,1184
22.55,1194
22.56,1199
22.57,1120
22.58,1179
22.59,1170
22.6,1178
22.61,1147
22.62,1142
22.63,1195
22.64,1213
22.65,1165
22.66,1199
22.67,1127
22.68,1176
22.69,1136
22.7,1176
22.71,1169
22.72,1206
22.73,1179
22.74,1166
22.75,1214
22.76,1206
22.77,1203
22.78,1146
22.79,1196
22.8,1233
22.81,1159
22.82,1213
22.83,1210
22.84,1287
22.85,1331
22.86,1303
22.87,1275
22.88,1360
22.89,1326
22.9,1410
22.91,1396
22.92,1339
22.93,1331
22.94,1291
22.95,1302
22.96,1293
22.97,1297
22.98,1336
22.99,1336
23,1279
23.01,1253
23.02,1252
23.03,1196
23.04,1211
23.05,1169
23.06,1181
23.07,1191
23.08,1173
23.09,1250
23.1,1226
23.11,1125
23.12,1183
23.13,1109
23.14,1157
23.15,1138
23.16,1177
23.17,1117
23.18,1138
23.19,1152
23.2,1132
23.21,1154
23.22,1143
23.23,1137
23.24,1093
23.25,1126
23.26,1162
23.27,1115
23.28,1111
23.29,1163
23.3,1172
23.31,1147
23.32,1121
23.33,1182
23.34,1157
23.35,1146
23.36,1110
23.37,1164
23.38,1162
23.39,1191
23.4,1159
23.41,1181
23.42,1212
23.43,1133
23.44,1217
23.45,1161
23.46,1181
23.47,1224
23.48,1212
23.49,1202
23.5,1256
23.51,1285
23.52,1313
23.53,1323
23.54,1315
23.55,1311
23.56,1358
23.57,1320
23.58,1353
23.59,1335
23.6,1302
23.61,1314
23.62,1335
23.63,1264
23.64,1251
23.65,1258
23.66,1180
23.67,1217
23.68,1169
23.69,1245
23.7,1192
23.71,1262
23.72,1208
23.73,1170
23.74,1202
23.75,1273
23.76,1200
23.77,1218
23.78,1296
23.79,1230
23.8,1240
23.81,1319
23.82,1267
23.83,1242
23.84,1314
23.85,1281
23.86,1282
23.87,1263
23.88,1209
23.89,1252
23.9,1248
23.91,1212
23.92,1245
23.93,1166
23.94,1164
23.95,1202
23.96,1197
23.97,1183
23.98,1136
23.99,1109
24,1169
24.01,1221
24.02,1193
24.03,1148
24.04,1135
24.05,1219
24.06,1178
24.07,1191
24.08,1190
24.09,1226
24.1,1220
24.11,1168
24.12,1251
24.13,1248
24.14,1183
24.15,1262
24.16,1253
24.17,1219
24.18,1203
24.19,1267
24.2,1237
24.21,1183
24.22,1202
